         128502091 function calls (127962783 primitive calls) in 2091.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31765    0.765    0.000    0.765    0.000 {method 'acquire' of '_thread.lock' objects}
    15630    0.755    0.000   29.188    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\optimizer.py:356(wrapper)
    60004    0.742    0.000    0.742    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
    93789    0.742    0.000  106.408    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\linear.py:113(forward)
   112520    0.727    0.000    6.447    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_tensor.py:980(__iter__)
    60000    0.696    0.000    3.305    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:391(resize)
      362    0.695    0.002    0.695    0.002 {method 'update' of '_hashlib.HASH' objects}
   231301    0.689    0.000    0.689    0.000 {method 'item' of 'torch._C._TensorBase' objects}
    50000    0.683    0.000    0.683    0.000 {built-in method _functools.reduce}
    62545    0.674    0.000    0.674    0.000 {built-in method _winapi.ReadFile}
   704854    0.666    0.000    0.827    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:14(_is_pil_image)
    93789    0.655    0.000  192.709    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\conv.py:451(_conv_forward)
    62522    0.644    0.000    5.767    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\multiprocessing\reductions.py:367(rebuild_storage_filename)
   100000    0.626    0.000    0.626    0.000 {method 'transform2' of 'ImagingCore' objects}
   200000    0.624    0.000    0.624    0.000 {built-in method builtins.round}
  1969838    0.617    0.000    0.617    0.000 {method 'lstrip' of 'str' objects}
150000/50000    0.609    0.000    8.227    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageStat.py:43(__getattr__)
    31261    0.584    0.000   17.049    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\queues.py:98(get)
    50000    0.574    0.000   13.686    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:1517(forward)
    93789    0.573    0.000  208.531    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\functional.py:769(_max_pool2d)
   580000    0.540    0.000    0.540    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageMode.py:36(getmode)
    15630    0.531    0.000    0.531    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
    31281    0.529    0.000   55.934    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\dataloader.py:1298(_next_data)
    23022    0.522    0.000    2.415    0.000 {built-in method builtins.sum}
    31306    0.521    0.000    0.784    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\utils\data\sampler.py:269(__iter__)
    60000    0.520    0.000    0.520    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
    15630    0.517    0.000   25.738    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\sgd.py:55(step)
    62541    0.507    0.000    0.745    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\autograd\profiler.py:619(__init__)
    50000    0.502    0.000    7.508    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:1074(rotate)
   150000    0.489    0.000    3.611    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:3302(blend)
   665180    0.473    0.000    0.473    0.000 {method 'startswith' of 'str' objects}
    15630    0.473    0.000   26.509    0.002 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\optimizer.py:58(_use_grad)
    62541    0.470    0.000    3.647    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\autograd\profiler.py:630(__enter__)
    60001    0.467    0.000    0.672    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:395(_getencoder)
    62522    0.466    0.000    3.524    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\multiprocessing\reductions.py:108(rebuild_tensor)
     7674    0.464    0.000    2.733    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\tqdm\std.py:352(format_meter)
  1736382    0.460    0.000    0.460    0.000 {built-in method unicodedata.east_asian_width}
       62    0.450    0.007    0.450    0.007 {built-in method _winapi.CreateProcess}
    60001    0.445    0.000    0.445    0.000 {method 'encode' of 'ImagingEncoder' objects}
